0.397984;Player1;pos;186.8539;0.1393963
0.397984;Player2;pos;-189.2427;0.13
0.4111699;Player1;pos;186.8539;0.1393963
0.4111699;Player2;pos;-189.2427;0.13
0.4240492;Player1;pos;186.8539;0.1393963
0.4240492;Player2;pos;-189.2427;0.13
0.4370662;Player1;pos;186.8539;0.1393963
0.4370662;Player2;pos;-189.2427;0.13
0.4500912;Player1;pos;186.8539;0.1393963
0.4500912;Player2;pos;-189.2427;0.13
0.4629121;Player1;pos;186.8539;0.1393963
0.4629121;Player2;pos;-189.2427;0.13
0.4770137;Player1;pos;186.8539;0.1393963
0.4770137;Player2;pos;-189.2427;0.13
0.4910073;Player1;pos;186.8539;0.1393963
0.4910073;Player2;pos;-189.2427;0.13
0.5050265;Player1;pos;186.8539;0.1393963
0.5050265;Player2;pos;-189.2427;0.13
0.5180105;Player1;pos;186.8539;0.1393963
0.5180105;Player2;pos;-189.2427;0.13
0.5310761;Player1;pos;186.8539;0.1393963
0.5310761;Player2;pos;-189.2427;0.13
0.5453465;Player1;pos;186.8539;0.1393963
0.5453465;Player2;pos;-189.2427;0.13
0.5580868;Player1;pos;186.8539;0.1393963
0.5580868;Player2;pos;-189.2427;0.13
0.5719926;Player1;pos;186.8539;0.1393963
0.5719926;Player2;pos;-189.2427;0.13
0.5862271;Player1;pos;186.8539;0.1393963
0.5862271;Player2;pos;-189.2427;0.13
0.5990526;Player1;pos;186.8539;0.1393963
0.5990526;Player2;pos;-189.2427;0.13
0.6130245;Player1;pos;186.8539;0.1393963
0.6130245;Player2;pos;-189.2427;0.13
0.6260694;Player1;pos;186.8539;0.1393963
0.6260694;Player2;pos;-189.2427;0.13
0.6389481;Player1;pos;186.8539;0.1393963
0.6389481;Player2;pos;-189.2427;0.13
0.6538109;Player1;pos;186.8539;0.1393963
0.6538109;Player2;pos;-189.2427;0.13
0.6660949;Player1;pos;186.8539;0.1393963
0.6660949;Player2;pos;-189.2427;0.13
0.6790118;Player1;pos;186.8539;0.1393963
0.6790118;Player2;pos;-189.2427;0.13
0.6918952;Player1;pos;186.8539;0.1393963
0.6918952;Player2;pos;-189.2427;0.13
0.7049099;Player1;pos;186.8539;0.1393963
0.7049099;Player2;pos;-189.2427;0.13
0.7190525;Player1;pos;186.8539;0.1393963
0.7190525;Player2;pos;-189.2427;0.13
0.7330331;Player1;pos;186.8539;0.1393963
0.7330331;Player2;pos;-189.2427;0.13
0.7462403;Player1;pos;186.8539;0.1393963
0.7462403;Player2;pos;-189.2427;0.13
0.7590097;Player1;pos;186.8539;0.1393963
0.7590097;Player2;pos;-189.2427;0.13
0.7730123;Player1;pos;186.8539;0.1393963
0.7730123;Player2;pos;-189.2427;0.13
0.78602;Player1;pos;186.8539;0.1393963
0.78602;Player2;pos;-189.2427;0.13
0.8004499;Player1;pos;186.8539;0.1393963
0.8004499;Player2;pos;-189.2427;0.13
0.8129503;Player1;pos;186.8539;0.1393963
0.8129503;Player2;pos;-189.2427;0.13
0.8270537;Player1;pos;186.8539;0.1393963
0.8270537;Player2;pos;-189.2427;0.13
0.8401529;Player1;pos;186.8539;0.1393963
0.8401529;Player2;pos;-189.2427;0.13
0.854029;Player1;pos;186.8539;0.1393963
0.854029;Player2;pos;-189.2427;0.13
0.8670516;Player1;pos;186.8539;0.1393963
0.8670516;Player2;pos;-189.2427;0.13
0.8810242;Player1;pos;186.8539;0.1393963
0.8810242;Player2;pos;-189.2427;0.13
0.8940666;Player1;pos;186.8539;0.1393963
0.8940666;Player2;pos;-189.2427;0.13
0.908084;Player1;pos;186.8539;0.1393963
0.908084;Player2;pos;-189.2427;0.13
0.9210209;Player1;pos;186.8539;0.1393963
0.9210209;Player2;pos;-189.2427;0.13
0.9350184;Player1;pos;186.8539;0.1393963
0.9350184;Player2;pos;-189.2427;0.13
0.9480438;Player1;pos;186.8539;0.1393963
0.9480438;Player2;pos;-189.2427;0.13
0.9619977;Player1;pos;186.8539;0.1393963
0.9619977;Player2;pos;-189.2427;0.13
0.9749213;Player1;pos;186.8539;0.1393963
0.9749213;Player2;pos;-189.2427;0.13
0.9890022;Player1;pos;186.8539;0.1393963
0.9890022;Player2;pos;-189.2427;0.13
1.002033;Player1;pos;186.8539;0.1393963
1.002033;Player2;pos;-189.2427;0.13
1.015988;Player1;pos;186.8539;0.1393963
1.015988;Player2;pos;-189.2427;0.13
1.029037;Player1;pos;186.8539;0.1393963
1.029037;Player2;pos;-189.2427;0.13
1.043081;Player1;pos;186.8539;0.1393963
1.043081;Player2;pos;-189.2427;0.13
1.05604;Player1;pos;186.8539;0.1393963
1.05604;Player2;pos;-189.2427;0.13
1.070017;Player1;pos;186.8539;0.1393963
1.070017;Player2;pos;-189.2427;0.13
1.084041;Player1;pos;186.8539;0.1393963
1.084041;Player2;pos;-189.2427;0.13
1.097087;Player1;pos;186.8539;0.1393963
1.097087;Player2;pos;-189.2427;0.13
1.111109;Player1;pos;186.8539;0.1393963
1.111109;Player2;pos;-189.2427;0.13
1.124026;Player1;pos;186.8539;0.1393963
1.124026;Player2;pos;-189.2427;0.13
1.139165;Player1;pos;186.8539;0.1393963
1.139165;Player2;pos;-189.2427;0.13
1.15212;Player1;pos;186.8539;0.1393963
1.15212;Player2;pos;-189.2427;0.13
1.164007;Player1;pos;186.8539;0.1393963
1.164007;Player2;pos;-189.2427;0.13
1.178089;Player1;pos;186.8539;0.1393963
1.178089;Player2;pos;-189.2427;0.13
1.192006;Player1;pos;186.8539;0.1393963
1.192006;Player2;pos;-189.2427;0.13
1.205172;Player1;pos;186.8539;0.1393963
1.205172;Player2;pos;-189.2427;0.13
1.219035;Player1;pos;186.8539;0.1393963
1.219035;Player2;pos;-189.2427;0.13
1.232022;Player1;pos;186.8539;0.1393963
1.232022;Player2;pos;-189.2427;0.13
1.246211;Player1;pos;186.8539;0.1393963
1.246211;Player2;pos;-189.2427;0.13
1.259038;Player1;pos;186.8539;0.1393963
1.259038;Player2;pos;-189.2427;0.13
1.273061;Player1;pos;186.8539;0.1393963
1.273061;Player2;pos;-189.2427;0.13
1.287263;Player1;pos;186.8539;0.1393963
1.287263;Player2;pos;-189.2427;0.13
1.300081;Player1;pos;186.8539;0.1393963
1.300081;Player2;pos;-189.2427;0.13
1.312997;Player1;pos;186.8539;0.1393963
1.312997;Player2;pos;-189.2427;0.13
1.326152;Player1;pos;186.8539;0.1393963
1.326152;Player2;pos;-189.2427;0.13
1.340078;Player1;pos;186.8539;0.1393963
1.340078;Player2;pos;-189.2427;0.13
1.354091;Player1;pos;186.8539;0.1393963
1.354091;Player2;pos;-189.2427;0.13
1.367173;Player1;pos;186.8539;0.1393963
1.367173;Player2;pos;-189.2427;0.13
1.380066;Player1;pos;186.8539;0.1393963
1.380066;Player2;pos;-189.2427;0.13
1.394084;Player1;pos;186.8539;0.1393963
1.394084;Player2;pos;-189.2427;0.13
1.408217;Player1;pos;186.8539;0.1393963
1.408217;Player2;pos;-189.2427;0.13
1.421047;Player1;pos;186.8539;0.1393963
1.421047;Player2;pos;-189.2427;0.13
1.43506;Player1;pos;186.8539;0.1393963
1.43506;Player2;pos;-189.2427;0.13
1.448187;Player1;pos;186.8539;0.1393963
1.448187;Player2;pos;-189.2427;0.13
1.462079;Player1;pos;186.8539;0.1393963
1.462079;Player2;pos;-189.2427;0.13
1.475034;Player1;pos;186.8539;0.1393963
1.475034;Player2;pos;-189.2427;0.13
1.489158;Player1;pos;186.8539;0.1393963
1.489158;Player2;pos;-189.2427;0.13
1.502024;Player1;pos;186.8539;0.1393963
1.502024;Player2;pos;-189.2427;0.13
1.51615;Player1;pos;186.8539;0.1393963
1.51615;Player2;pos;-189.2427;0.13
1.529212;Player1;pos;186.8539;0.1393963
1.529212;Player2;pos;-189.2427;0.13
1.543087;Player1;pos;186.8539;0.1393963
1.543087;Player2;pos;-189.2427;0.13
1.556155;Player1;pos;186.8539;0.1393963
1.556155;Player2;pos;-189.2427;0.13
1.570172;Player1;pos;186.8539;0.1393963
1.570172;Player2;pos;-189.2427;0.13
1.584107;Player1;pos;186.8539;0.1393963
1.584107;Player2;pos;-189.2427;0.13
1.597166;Player1;pos;186.8539;0.1393963
1.597166;Player2;pos;-189.2427;0.13
1.610036;Player1;pos;186.8539;0.1393963
1.610036;Player2;pos;-189.2427;0.13
1.62405;Player1;pos;186.8539;0.1393963
1.62405;Player2;pos;-189.2427;0.13
1.638107;Player1;pos;186.8539;0.1393963
1.638107;Player2;pos;-189.2427;0.13
1.652127;Player1;pos;186.8539;0.1393963
1.652127;Player2;pos;-189.2427;0.13
